itemKey,name,type,registry,catalogPresent,catalogGroup,compositionMode,childCount,placement,rotation,moveSnap,color,image,light,glass,fabric,capabilities,bomOk,bomError,persistence,renderer,factoryOk,contractProfile,definition,placeable,gaps
showcase_side_143_5_30,"Vitrin Yan Sunta 143,5 × 30 cm",showcase-board,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/showcase_side_143_5_30.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
showcase_horizontal_87_4_30,"Vitrin Yatay Sunta 87,4 × 30 cm",showcase-board,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/showcase_horizontal_87_4_30.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
glass_shelf,Cam Raf,showcase-accessory,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/glass_shelf.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
counter_top_110_60,Banko Üstü 110 × 60 cm,counter-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/counter_top_110_60.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
counter_top_52_60,Banko Üstü 52 × 60 cm,counter-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/counter_top_52_60.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
counter_top_160_60,Banko Üstü 160 × 60 cm,counter-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/counter_top_160_60.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
counter_top_102_60,Banko Üstü 102 × 60 cm,counter-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/counter_top_102_60.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
counter_top_210_60,Banko Üstü 210 × 60 cm,counter-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/counter_top_210_60.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
counter_top_150_60,Banko Üstü 150 × 60 cm,counter-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/counter_top_150_60.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
base_top_107_50,Baza Üstü 107 × 50 cm,base-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/base_top_107_50.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
base_top_157_50,Baza Üstü 157 × 50 cm,base-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/base_top_157_50.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
base_top_206_50,Baza Üstü 206 × 50 cm,base-top,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/base_top_206_50.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
COAT_RACK,Askılık,coat-rack,COMMERCIAL_ITEMS,true,Extra,,1,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCoatRackModule,true,free-model-fixed,docs/items/definitions/COAT_RACK.md,true,
KETTLE,Kettle,kettle,COMMERCIAL_ITEMS,true,Extra,,1,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createKettleModule,true,free-model-fixed,docs/items/definitions/KETTLE.md,true,
MINI_FRIDGE_AVANTI,Mini Buzdolabı,mini-fridge,COMMERCIAL_ITEMS,true,Extra,,1,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createMiniFridgeModule,true,free-model-fixed,docs/items/definitions/MINI_FRIDGE_AVANTI.md,true,
